GW5A-25A,LV,GW251S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25A,LV,MBGA121N,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25A,LV,UBGA324,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25A,LV,LQFP100,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25A,LV,LQFP144,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25A,LV,UBGA324S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit,
GW5A-25A,LV,PBGA256S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit,
GW5A-25A,LV,PBGA256,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit,
GW5A-25A,LV,PBGA196S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit,
GW5A-25A,EV,ALL,1.2/1.8,1.14,1.8,3.3/2.5,2.375,3.465,1.2,1.14,3.3,VCC/VCC_LDO Short Circuit of LQFP100,
GW5A-25B,LV,MBGA196S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,,,,,
GW5A-25B,LV,GW251C,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25B,LV,GW251S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25B,LV,MBGA121N,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25B,LV,UBGA324,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25B,LV,LQFP100,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25B,LV,LQFP144,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,,
GW5A-25B,LV,PBGA196S,0.9/1.0,0.87,1.03,3.3/2.5,2.375,3.465,3.3,1.14,3.3,VCCX/VCC_LDO Short Circuit,
